,Document,Treaty Name,Council Start Date,Council End Date,Council City,Council State,Speaker,Position,Native | Non-Native,Tribe or Ethnicity,Text,neg,pos,neu,compound,Negative,Positive,start_year,start_month,start_day,end_year,end_month,end_day
31,1788-07-18.txt,Treaty of 1788-07-18,1788-07-18,1788-07-18,Detroit,Michigan,Seneca,?,Native,Seneca,"Brethren! I thank the Great Spirit for permitting us to meet here to-day, that we may deliver you the Speech which we have from our People at Niagara. Brethren ! We the Six Nations are much alarmed to hear that the Enemy have cut off two of your Villages and we take the earliest opportunity to convey to you the Strings of Condolence. We hope that you will not be discouraged at your loss, but be strong and keep close to your Brethren the Delawares and Wyandotts. Our father has always advised us to unite our- selves as one, for by dividing ourselves we weaken our strength and the Enemy advantage thereby. Delivers several Strings. Brethren ! You have heard the Substance of the Speech which I had to deliver and as I find since my arrival here that the report is not true, I expect that you will give me an account of your loss that I may inform my people on my return.",0.116,0.125,0.759,-0.2605,True,False,1788,7,18,1788,7,18
32,,Treaty of 1793-12-01,1793-12-01,1793-12-01,Detroit,Michigan,Sagoyewatha,The seneca chief,Native,Shawanese,"Father! I must remind you of your promises, at the time you first engaged us to espouse the King's cause you told us that not only the wants of the Warriours but those of our families should be supplied in great profusion. Delivers three Strings Father! We have received a message last summer, through you, from, the Commander in Chief, forbidding us to treat our Prisoners with cruelty, assuring us that it was contrary to the laws of God and custom of nations which speech I have accepted and shall preserve. You will however recollect that we have injuries to revenge and altho' you protect the Enemy from the stake, you shall not from their Death, for the Warriours are determined not to spare them in battle, therefore Father, be not surprised at see ing in future more Scalps than Prisoners. 
Father! After having reminded you of your promises and done your will I must inform you, that we and the other nations were much surprized to see people return from you to our Village unprovided, owing to the want of where with to supply them, as you told them you had not the things which they wanted. I beg of you Father not to use the same discourse to us, that you want certain things, but that you will provide not only for those who have accompanied me hither, but for those also who we have left behind to guard our village. 
Father! I, and my people expect that you will give us necessaries in abundance, as also, such ornaments which is acceptable and pleasing to young men, if otherwise we shall imagine, you do not speak from the Heart. 
 Father! You cannot be ignorant that we are always engaged with an Enemy, or, on the watch at our Villages. Father! You may recollect that the last time I was here, I lost a Prisoner, which you promised to see returned as he was adopted among us, I am there fore surprised that you have not yet satisfied me on that subject, as it does not correspond with your promise, I find by experience from my knowledge of mankind that from the late alteration you only speak from the mouth.  

        Father! I pray of you to consider that my loss is great with respect to the prisoner. If ever you have been in my situation judge from your feelings if I have not reason to regret his loss. Father! Before I finish my discourse I must repeat to you again to us our Warriours well, in supplying them with such things as they require. If not, what effect will my advice have upon them to enforce what you may direct?Father! You ordered two Barrels of Powder to be given out to us at St. Dooskey of which we have received but a small part. we therefore hope that you will order it to be delivered to us at present exclusive of our proportion which we are to have. 
Major De Peyster then answered: 
        Children of the Six Nations who Inhabit the Shawnee Country. Listen to the answer which I shall make to your speech When the Governor of this Place first engaged you to take the part of your English Father. He looked upon it as best for your mutual interest, on my arrival here I saw the necessity of your continuing to act on the side you were engaged, with out which you must have been overpowered before now you cannot deny but that I have ever fulfilled his promises as far as circumstances would admit. You that have so great a knowledge of humankind must also be capable to make allowances for accidents the ship which was loaded with the Goods for Indian presents was taken at sea and as often retaken by us, she at length arrived at Quebec but it was so late in the year, that the goods could not get up the country in time they are arrived at Niagara and I look for them every day. As soon as I get them you may expect to receive a proportion of such articles as the Commander in Chief has thought proper to send for his Indian Children but should you grow impatient before the things reach me and wish to go home, you must be content with such things only as I have to give you with respect to the two Barrels of Gun Powder which you desire to have over and above. I must observe to you that I do not mean the Powder as a reward for your services but to enable you to defend your selves against the Enemy and to hunt. The time which that Powder should have been expended is past, since which I have repeatedly sent powder in great quantities and make no doubt but that you have received your share thereof.

        Children ! Consider that we are to act for our mutual interest, if you push me beyond my abilities we shall both fall. if you find yourselves disappointed in not receiving your necessaries immediately depend upon it I am more so, particularly so, from the recommendation Captain Caldwell has given me of your conduct in the last Campaigne.  

        Children! With regard to the message which I forwarded to you, desiring you to treat all Prisoners with humanity, you must recollect that it's a language I have upon all occasions held out to you, and let me repeat that it is greatly your Interest to do so. If Captain Pipe had not put that Colonel to death after he had made him Prisoner, the Enemy would not have made an attack upon the Indian Country this year, for from every Intelligence which I receive they intimate it was only to revenge his Death. 

        Children! I have another Message from the Commander in Chief to you which is that you will not push the War into the Enemies Country but defend your own, in which he is ready to give you every assistance in his power. 

        Children! You tell me that I only speak from my mouth and not from the heart as I did not return the adopted Prisoner agreeable to promise believe me Children that I speak so much from the heart that I remember well what I said to you, which was if I could find the Prisoner that I should return him to you. I repeat the same to you still and I have so much feeling that I shall provide for the person to whom he was related. I have nothing more to say, but to desire Mr. Baby to treat you as well as he can at present with such things as is in store ",0.096,0.152,0.751,0.9966,False,True,1793,12,1,1793,12,1
33,,Treaty of 1785-05-18,1785-05-18,1785-05-18,Detroit,Michigan,Mingoe,Chief of Mingo,Native,Mingo,"some time ago he and several others had gone a hunting found the white people settling in many parts of their Country. That he thought from what he had heard from Mr. Shirlock, that they had no right, nor were encouraged by their Great men to settle upon this side the Ohio, as the line between them was on the other side the Ohio settled by their Forefathers; and that the Speeches delivered to him by the said Mr. Shirlock, as well as by General Clark were that if the People who were encroaching upon us got hurt, there would be no notice taken of it; as they would bring it upon themselves. That now whilst he was out he met some of those people (Virginians) and took one of them Prisoner to answer to his Chiefs, and now delivers him to them, to examine and hear what he bad to say. 
",0.102,0.037,0.861,-0.8661,True,False,1785,5,18,1785,5,18
35,,Treaty of 1785-09-20,1785-09-20,1785-09-20,Detroit,Michigan,,"several nations of Lake Indians, Hurons, Ottowa, Chippewas, and Potawatomi ",Native,,"Brethren (Americans), We acknowledge the receipt of your messages calling us to the mouth of the big Miamis River on the Ohio to a Treaty to be held there in ten days from this date, when we consider that the important business that has been already transacted with you at Forts Stanwix and McIntosh have not yet had time to be made known and determined upon by the nations concerned in it through this great Country, we cannot help expressing that you have been too precipitate in calling upon us, before the affairs which we are now engaged in and have to settle amongst ourselves are finally settled, and which are essentially necessary to accomplish the desirable End of Peace, and make it permanent. We are equally surprised to find that you seem to take no notice of the ancient Council Fires kindled by our Forefathers, where the good Works of Peace can be only accommodated to mutual satisfaction and the Sincerity of your Hearts be made appear. Your messengers a few days ago arrived within sight of the Smoke of this Fire and suddenly turned off to avoid it. When our business is fully settled and we are ready to meet you, which we hope will be early next Spring, it will be at such a place as our ancestors formerly met to settle matters tending to their Welfare and Happiness. 
A Message to the Half King 
	The Chiefs of the Council having received your message accompanying an Invitation from the Americans to attend a Treaty to be held by them are of opinion that you have not well considered the purport of it, otherwise you would not have delivered yourself so hastily or rashly, therefore they return it to you, desiring you may consider it wisely; recollecting at the same time that your directions from this Council when detached to that side of the Lake, were to receive Speeches or Messages, and not to determine upon them, but to rise up and lay them before this Council yourself to be settled here, and that they now expect your conduct upon this occasion will be such as to meet the approbation of all Parties. 
Brethren, as we could not be prepared to meet the Americans agreeable to their Invitation to us, we have sent them our answer, which will be communicated to you, in the meantime we are sorry to observe the pernicious conduct of some foolish men amongst you, who contrary to our advice, and that of our father, continue to carry on depredations tending to destroy the Quiet of the Country, as well as the good works the General Councils of our Confederacy are labouring to accomplish. We earnestly therefore desire the wise men amongst you, may exert themselves to restrain such headstrong men as persist in following their own Inclinations, as their bad behaviour must in the end operate as much against themselves as those they are endeavouring to injure. We fill your pipes with tobacco, wishing you to consider well in your present situation, and trust that you will be able to keep all your people quiet, till the result of our General Councils is known. ",0.051,0.102,0.847,0.9782,False,True,1785,9,20,1785,9,20
36,1786-09-19,Treaty of 1786-09-19,1786-09-19,1786-09-19,,,Michl Ague,Potawatomi Chief,Native,Potawatomi,"The undermentioned chiefs assembled and requested I would inform 
You what they had to say. 

The Cornstalk said to his Father at Michilimakinac, that he would look up the Road and hinder the Americans to take possession of their Lands. 

His father told them that was right, & not to let any pass, except the English and French Traders.

Now the Americans are advancing, and assembling at the entrance 
of the Whole Rivers in great numbers; we received this intelligence by two Kickapoo messengers who arrived yesterday; they say the Americans are to come by three different Roads, first Vincennes, Eel River & Miamis; its one Mr. Le Gras wrote to the Kickapoos and told them the Americans were coming according to their promise.

Their Father at Michilimackinac told them, take care of your Traders and protect them.

This day I acquaint you, that they are advancing near to us, we expect you'll assist us, as likewise expect you will inform our Father at Michilimackinac, of his former promise to us, we expect a favorable answer from you, which will assist to cover us from the menaces of our Enemy.

It is not the first time we stop'd them from coming that Road, as the same with all the Force we have if they come that way again. We inform you of the contents of this Message and salute you.

Who bring you this speech 

I am Sir, Your very obedient and humble Servant 
",0.014,0.083,0.903,0.9495,False,True,1786,9,19,1786,9,19
37,,Treaty of 1786-11-08,1786-11-08,1786-11-08,House at Wukitiwinikie,,Peteasuva,Shawnee chief,Native,Shawanese,"The Wyandot Sc Delawares met us in the Council House three days ago, and delivered us the Sentiments of Ten Groat Nations who speak different languages, and live along the Great Lakes vizt. The Wyandot, Ottawa, Chippewa, Potawatomi & their Confederates.

        Brethren, You sent speeches amongst us last year to Invite us who are of one colour to the Council Fire you kindled at Fort Stanwix to the Peace and other good things you said you had to offer us. Soon afterwards you kindled another Council fire at Beaver Creek to which you also Invited us, but you ought to know this is not the way to make a good or lasting Peace to take our Chiefs Prisoners and come with Soldiers at your Backs can never tend to general good between us.

        You now again Invite us to another Council Fire at the month of the Great Miamis, Your Messengers have gone through several nations but we are aware of your design to divide our councils, we are unanimous, and it is not right that you kindle fires among Brush or Nettles, Therefore we inform you that at Detroit is the Ancient Council Fire of our forefathers, there is the proper place, and when we see you there we will take you by the Hand, which cannot be sooner than next Spring, as we must have time to hear from the other Nations to the Westward, nothing can be done by us, but by General consent, we act and speak like one man.

Last Fall our Brethren the Americans call'd us to the Big Miamis: when we arrived there they said they had something to communicate of importance to our future welfare, and the happiness of our children after us. But alas we heard nothing good from them, they told us that our father had given us to them with our Lands. Their Commissioners assured us that every thing in the articles we now send to you, was agreeable to our best wishes and more generous than we had a right to expect from them, this induced us to sign their proposals, but we find that we have been ignorant of the real purport of them till our return here, our Hostages however that were detained by them are come home safe, we inform you how they have deceived us, by telling us the King of Great Britain had ceded the whole country to them, and we were not sensible of the error we have committed till our friend Elliot explained it to us.

	Father, we request you to be strong and give us the best advice you are capable of in our present situation, you see we have never been in more need of your friendship and good offices, we have been cheated by the Americans who are striving to work our destruction and without your assistance may be able to accomplish their ends, you have too much wisdom not to be convinced of this truth as well as us, we earnestly beg you will consider and send us a speedy answer. In the mean time we salute you & remain your steady friends",0.068,0.195,0.736,0.998,False,True,1786,11,8,1786,11,8
38,1783-04-19.txt,Treaty of 1783-04-19,1783-04-19,1783-04-19,Lower Sandusky,Ohio,Chief of Wyandotts,Chief,Native,Wyandott,"Father ! You in the name of our Great Father the King requested our assistance against your and our enemies. Gave us a Hatchet, which we have to your Knowledge made the best use of we could, in giving you all the help in our power against them, lately you were pleased to advise us to sit still, which we have and do hearken to, it being always our intentions, not only in this, but in whatever you'r pleased to tell us. True there is a party gone out some time ago but we hope for the time being they will be brought to a right way of thinking. There was a Prisoner sent you lately, by whom (and others brought in to the Shawnee and Delaware Towns we are credibly informed that the Virginians are preparing to come against us, and that we may expect them soon. Now Father we don't know how to act 'till we hear from you, and as we have gone on hand in hand together, we hope to continue so, and that you'll not allow your poor children to be crushed under the weight of their enemies, but we expect you will be so good as call the rest of your children about you, letting them know how its like to be with us, and that we want their assistance as soon as possible. We are likewise in hopes to see you here on this ground with as many of your own People as can be spared and we are in hopes the present times and the reasons mentioned will admit of your straining a point, for Father depend upon it we have great reason to expect them shortly. Father! Should a Treaty of Peace be going on we hope your children will be remembered in the Treaty. Now Father, you have heard what your children has to say, we hope you'll take us into your serious consideration, and not let our hearts fail us at this time, but let us have assistance, and as our ammunition is out, be so good as send us some, in the mean time we expect an answer to this immediately
",0.06,0.195,0.746,0.9959,False,True,1783,4,19,1783,4,19
39,1783-06-28.txt,Treaty of 1783-06-28,1783-06-28,1783-06-28,Detroit,Michigan,Member of Wea Tribe,,Native,Wea,"Father! I address you in behalf of our chief (the Crooked Legs) and others, here is a proof that we have done your will (presents a prisoner) and that we are always ready to act as you may direct, altho' that our services should be no longer wanted, we yet hope that you'll supply our wants our women and children who are almost naked. Father! These strings you may know, we met them on the road.Father! The ax you gave us last year has not sufficiently had its effect, we still should be glad to use it to some purpose. Father! We are informed that instead of prosecuting the War, we are to give up our lands to the Enemy, which gives us great uneasiness in endeavouring to assist you it seems we have wrought our own ruin.",0.11,0.08,0.809,-0.6876,True,False,1783,6,28,1783,6,28
40,1783-06-28.txt,Treaty of 1783-06-28,1783-06-28,1783-06-28,Detroit,Michigan,Joseph le Kenerd,,Native,Kickapoo,"Father! I am the person that was employed to keep the Enemy from entering the Wabash, for I went at the head of fifty Warriours as far as the Ohio, to watch the motions of the Enemy. We past the whole winter on the banks of the Ohio, we met with only two of Enemy whom we killed. Our friends the Weas have taken a prisoner which they have given up to you. Father! I have now to recommend to your care the warriours, in short our whole Village who did what I told them, which was no more than your order, they therefore expect to receive your bounty, as they were prevented from hunting and have not wherewith to procure for themselves necessaries.",0.152,0.071,0.778,-0.9244,True,False,1783,6,28,1783,6,28
41,1783-09-06.txt,Treaty of 1783-09-06,1783-09-06,1783-09-08,Lower Sandusky,Ohio,Captain Joseph Brant,War Chief,Native,Mohawk,"Brothers & Nephews! We the chief warriors of the Six Nations with this belt clear your Ears, that you may listen with attention and without any interruption to what we have to say. Brothers & Nephews! We now conform to the ancient custom of our Fore Fathers, to condole with you for the Losses you have sustained in the war, and we hope your minds will now be eased from all trouble, since we have gathered the bones of all your dear departed Friends and covered them over, so that all is smooth and even. Brothers & Nephews! We shall now acquaint you with our motives for taking an early and active part in the war; at first it was hard for us to determine which side to join with, as they were the same People fighting against each other, but upon mature and deliberate consideration, we thought it incumbent upon us to join the King our Father, for had we pretended to be neutral, we should have been divided amongst ourselves, for our young men would have acted on some side or other, by which we might have fought against each other, and ruin ourselves. Actuated as we were by our feelings and reasonings we could not but adhere to our former engagements of Fidelity to the King of Great Britain, we therefore resolved to take that side, and urged you also to do so, although the force of the Americans appeared to be more powerful than that of the King, yet it did ;not deter us from following the dictates of our Principles, nor were we at the time Peace was announced to us, either tired of the war, or even afraid, for our Preparations for war were as much in readiness last winter as ever.Brothers & Nephews! We shall now inform you of the Transactions of Councils held at Niagara by Brigadier General Sir John Johnson, this Summer with us. He informed us that the Peace was brought about, and desired us for to remain quiet and cease Hostilities. We accordingly agreed to lay our Hatchets aside & looked with a watchful eye towards our Lands, for the boundary Line which was agreed to fifteen years ago. And Sir John Johnson assured us that the boundary Line lately agreed to, did not deprive us of our Lands. The war not being of our own making, we readily agreed to what Sir John had recommended to us, altho' we the Six Nations are never hasty in our resolves when matters of war are concerned, and altho' we have laid the Hatchet aside, should they give us just cause to use it, we shall nevertheless be able to take it up in defence of our Bights. We mean to take care that we give no cause of rupture on our parts Brothers & Nephews, we desire you to pay attention to this, and do the same thing that we have resolved to, and do nothing in a hasty manner, let everything go through its proper channel that we may be of one mind and act alike.Brothers and Nephews attend. That as it was the custom of the English as well as ours, at .the conclusion of a Peace to set the Prisoners at Liberty, he hoped that we would follow the same rule, to which we immediately complied, for as we declared before, we would give no cause of offence on our parts, and if we take up the Hatchet it would be the cause of the White People and not ours: We therefore earnestly recommend to you to do the same as we have done, that the Prisoners be set at Liberty.Brothers and Nephews. You the Hurons, Delawares, Shawanese, Mingoes, Ottowas, Chippeweys, Poutawattamies, Creeks & Cherokees. We the Six Nations with this belt bind your Hearts and minds with ours, that there may be never hereafter a separation between us, let there be Peace or War, it shall never disunite us, for our Interests are alike, nor should anything ever be done but by the voice of the whole as we make but one with you,Brothers & Nephews! I return you our thanks for your speedy compliance to what has been required of you in this Council. As you desire us to be strong who are acquainted with the Boundary Line of the Virginians. Brethren & Nephews, we are determined to be so, and to represent the encroachment of the Virginians into our Country as soon as we return home, and as we are now to act like one man, we take a few of your Chiefs, and lead you to our Council Fire, where you may be able to assist us in what you are so desirous should be done.
",0.083,0.142,0.775,0.9928,False,True,1783,9,6,1783,9,8
42,1754-06-21.txt,Treaty of 1754,1754-06-20,1754-06-21,,,,,Native,,"Brethren, — We your brothers of the Six-Nations are now come to acquaint you, that we have been informed you threaten to destroy entirely all your brethren the Indians, who will not join you on the road ; therefore we who keep in our own towns, expect every day to be cut in pieces by you. We would desire to know from your mouth, if there be any 
truth in that information, and that you would not look upon it as preposterous, that we are come to enquire into it, since you very well know that 
bad news commonly makes a deeper impression upon us than good; that 
we maybe fully satisfied by your answers of the truth thereof, we give you 
this Belt of Wampum. 

We know the French will ask us at our return, of what number our 
brethren are, whom we went to see? Therefore we desire you, by this Belt, 
to let us know it, as also the number of those whom you expect, and at 
what time you expect them, and when you reckon to attack the French, 
that we may give notice thereof to our town and know also, what we shall 
have to tell the French. ",0.075,0.102,0.823,0.4936,False,True,1754,6,20,1754,6,21
43,1754-06-21.txt,Treaty of 1754,1754-06-20,1754-06-21,,,,,Native,Delawares,"Brethren, the Governor of Virginia and Pennsylvania: — We your 
brethren, the Delawares, remember perfectly well the treaty of JLoiston, 
where you and your uncles the Six Nations, considering the bad situation we were in, for want of a man to be our leader, you then gave us a 
king, and told us, he should transact all our public affairs between you and 
us ; you gave us a charge, not to listen to every vain report that might 
be spread, but to consult ourselves, and to do, what would seem to us to 
be right. We assure you that we have given no credit to any of these reports, nor ever shall ; but will be guided by you our brethren, and by our 
uncles the Six Nations, and will do on all occasions, what is just and 
right, taking advice from you alone. To assure you of the desire we 
have to fullfill our engagements with you, we present you this belt. 

After which they made the following discourse, to the Six Nations. 

Uncles, Thirteen days are now past, since we have received the belt 
from the Onondago Council ; 1 do not doubt your knowing it. They exhorted us to remember old times, when they clothed us with a robe reach- 
ing down to our heels ; afterwards told us, to raise it up to our knees, and 
there to make it very fast, and come to them at the bead of Susquehanna, 
where they had provided a place for us to live ; that they had also sent 
a speech to those of our nation who live near the Minnesinks, inviting 
them to go to the place by them appointed, that they might live with us. 

The Delawares at that time were in the French Intei«et; and gave no credit to the English, who endevored to persuade them, they were only come at their request,

Major Washington does not relate in the Journal, what those people of the French were had be doubt, good reason to conceal them.                                                           
Grand sons, by this belt, we take you between our arms, and fetch you 
away from the Ohio, where you now are, to carry you amongst us, that you 
may live where we live, and there live in peace and quiet.
",0.03,0.109,0.861,0.9833,False,True,1754,6,20,1754,6,21
45,1773-08-18.txt,Treaty of 1773-08-18,1773-08-18,1773-08-18,Detroit,Michigan,Chapolontia,Chief,Native,Miamis,"Our Elder Brethren, We are well pleased with the message you bring us from, our Governor General Johnson. Lo, this is the first time, that we have the pleasure to know, that our General speaks to us, we see that he takes pity on us by sending us this good speech, and we receive it with both our hands, we will do every thing agreeable to his will when we find the speech comes from himself, and we see now, that it is real, and that it is for good, seeing that the Hurons interfere we have listened to them in all times as we have learned from our ancestors, and we will pay no regard to what we hear from any others, we have always had bad birds fluttering about our heads, who vexed our hearts, so that we could hear nothing right. We'll name you these birds; they are the Shawanese: who at the same time they talked of peace, told us to keep our axes, always sharp, and ready so soon as the Tawny Ekins (meaning the Indians) were assembled together, that they should be all of one people, and strike again all men who wear hats, (meaning the white people) and these talks came from General Johnson's favorites, the Six Nations, whom he esteems so much, and who are always stirring up mischief, For which reason, our Elder Brethren; we would not listen to them, but always make War against the Flat Heads. Now you are come to tell us that we are all as one people, wherefore we receive Governor Johnson's Belt, with both our hands, notwithstanding that we are worthy of compassion, having ever since the English are in possession of the country, been looked upon as Bastards; yet our chiefs of the Villages and War Chiefs, will go and use their utmost endeavours that all may be peaceable, and undisturbed agreeable to General Johnson's desire. You Hurons, our Elder Brethren, you reproach us, that you, having come to pass, in the road of our former Brethren, have found it stained with the Blood of our present Brethren, the White People. Tis true it is stained, but we have not stained it. The road was made by our Ancestors, it now turned aside; we are not the cause of it. Tis true we have imbrued our hands in the Blood of our Brethren, the White People; but it was not on the road of our ancestors, it was off from it, in the Enemy's country our Tomahawk fell. You reproach us with the blow against Major Cochran, and our little Brethren the Shawanese, and our having killed them all together. If he had known the former road that was made, this matter would not have happened. He was found in the path of the Enemy. It was unlucky for, him, and us, when he came in the road that was traced out by our ancestors. He got to his home, with the greatest facility, and we believe he has no reason to complain of our Miamis. This old road is now opened again and we are going altogether to sweep it, and make it clean. That agreeable to your demand every one may pass without molestation. Though our chiefs be not here, we imagine he will not be dissatisfied with what we do now, and we give some branches of Wampum, and a pipe of peace to confirm what we say. The Queen of the Village has given us some branches of Wampum, thanking us that we have taken pity on the women, and children; Wherefore they join altogether in this speech and are so well satisfied that they will use their utmost endeavours to prevent the Chiefs, their children, from doing contrary to the desire of Governor Johnson. We kindly thank the Governor of all Nations, that he has taken pity on us, and we pray the Master of Life to give success to his embassy. We thank our Elder Brethren, the Hurons, for coming personally to bring us the Governors Speech. We observe they are old men and that it is an affair of consequence, and we thank you all for taking pity on us.
",0.066,0.13,0.804,0.994,False,True,1773,8,18,1773,8,18
46,1774-05-13.txt,Treaty of 1774-05-13,1774-05-13,1774-05-26,Newcomerstown,Ohio,Killbuck,War Chief,Native,Delawares,"Brethren: (Chiefs of the Delawares) We received your  speech of the 13th instant, by the two messengers you sent us, and we return you thanks for putting us on our guard against the bad man you have  mentioned in it (though he was known to us before), and you may be  assured that we shall not pay any regard to what he says to us, or to any  other man that does not come with sufficient authority from you. 

Brethren, we desire you to be strong, and speak to your grand children, the Shawanese, and let them know that any unruly conduct of theirs at this time will  only produce more fatal consequences than has already happened, and that  the number of people who yet desire to live and preserve the peace of this  country are far superior to those bad people who desire the contrary, so  that if they study their real interest they will not delay to inform us of their  sentiments, as they must be convinced that our whole country are now  collected in bodies, and waiting to hear from them. 

Brethren, we desire  your young men may be informed that we shall be glad to see them come  here and trade as usual. (A string.)  ",0.044,0.181,0.775,0.9804,False,True,1774,5,13,1774,5,26
47,1774-05-13.txt,Treaty of 1774-05-13,1774-05-13,1774-05-26,Newcomerstown,Ohio,White Eyes,Speaker,Native,Delawares,"Brethren : We are glad to receive your messages now delivered to us  by Captain White Eyes upon the late disturbances which have happened  between our young men, and we return you thanks for the speedy measures  you have taken to speak to us upon it. We are entirely satisfied upon this  account, and banish everything which could give us uneasiness from our  hearts, as you desire us, and we likewise request that you will do the same,  that nothing may remain upon either side to discontent us. (A string.)   

        Brethren : We have too great a regard for the ancient friendship  established between you and us, and which has so long subsisted between  our forefathers, to suffer the conduct of foolish men to have any bad effect  upon it, or to weaken our good intentions in the least, so as to loosen our  hands from the hold we have of it ; therefore we do not look towards the  evil that has been done, with any resentment in our minds, but with a desire to have it buried in oblivion, as well as everything else which has an  appearance of disturbing our future tranquillity. Be strong, brethren, and  think favorably of our peace, as we do, and we shall be too powerful for any bad people, who are not inclined to listen to or preserve it as we do.  

        Brethren, when our wise people concluded the peace which subsists between  us, it was mutually agreed between them, that though probably we might  lose people on both sides by the rashness or folly of bad men, that it ought  not, nor should not, have any evil effect upon the amity settled by them, and  this is still what we adhere to. 

        Brethren, last of all, spoke to our grandchildren, the Shawanese, upon this head, and desired them to keep their  young, imprudent men from doing mischief, and this advice we have again  given them at this time. (A belt.)   

        Brethren: The road which you have cleared between you and us,  we now, by this string of wampum, upon our parts, remove every obstacle  that may impede our traveling it with satisfaction, and we desire that our  young men may be permitted to continue their trade as usual. Those white  people who are in our towns, to the number of eleven, you will see in a few  days, who are going to Pittsburgh under the protection of your brethren, the  Delawares, and as soon as matters wear a more favorable aspect, we shall  expect them to return to our town. (A string.) Brethren : We are very glad to hear what you have now said, and  we find that you will willingly preserve the peace. We shall inform all  the Nations in friendship with us of what has passed between us at this  time, and in one month I’ll be able to complete this design, and then we  shall be able to distinguish those who are inclined to listen to our wise  people, and preserve the peace, from those that choose to speak by their  warriors. This will afford time for those who are inclined to remove  themselves to their Chiefs, and give an opportunity to the warriors to  speak to one another. 
 ",0.074,0.152,0.774,0.9941,False,True,1774,5,13,1774,5,26
48,1774-05-13.txt,Treaty of 1774-05-13,1774-05-13,1774-05-26,Newcomerstown,Ohio,,,Native,Shawanese,"
        Brothers : (Captain Connolly, Mr. McKee, and Mr. Croghan,) We  have received your speeches by White Eyes, and as to what Mr. Croghan  and Mr. McKee says, we look upon it all to be lies, and perhaps what you  say may be lies also ; but as it is the first time you have spoken to us, we  listen to you, and expect that what we may hear from you will be more confined to truth than what we usually hear from the white people. It is  you who are frequently passing down and up the Ohio, and making settlements upon it, and as you have informed us that your wise people were  met together to consult upon this matter, we desire you to be strong, and  consider it well.   

        Brethren : We see you speak to us at the head of your warriors,  who you have collected together at sundry places upon this river, where we  understand they are building forts, and as you have requested us to listen to  you, we will do it, but in the same manner that you appear to speak to us.  Our people at the Lower Towns have no Chiefs amongst them, but are all  warriors, and are also preparing themselves to be in readiness, that they  may be better able to hear what you have to say.   You tell us not to take any notice of what your people have done to  us ; we desire you likewise not to take any notice of what our young men  may now be doing, and as no doubt you can command your warriors when  you desire them to listen to you, we have reason to expect that ours will  take the same advice when we require it, that is, when we have heard from  the Governor of Virginia.   

        Brethren : (of Pennsylvania,) It is some years ago since we had the  satisfaction to see you at Pittsburgh, when you came there to renew the  ancient friendship that subsisted between our forefathers ; and it gave us  great pleasure to assist you in the great work, when the path was opened  between you and us, and we now tell you that your traders who have travelled it, shall return the same road in peace, and we desire our grandfathers,  the Delawares, to be strong in conducting them safe to you. (A string.)  ",0.034,0.161,0.805,0.9963,False,True,1774,5,13,1774,5,26
